sample_order,sample_id,source_file,content_length,mask_source_final,has_explicit_mask,audio_zero_candidate_count,vision_zero_candidate_count,joint_zero_candidate_count,audio_zero_candidate_segments,vision_zero_candidate_segments,joint_zero_candidate_segments,final_audio_missing_count,final_vision_missing_count,final_audio_missing_segments,final_vision_missing_segments,keys_used
11,附件3_11,附件3_11.pkl,16,derived_q2a_candidate_because_no_explicit_mask,False,6,6,6,"[[0, 0], [4, 5], [7, 7], [14, 15]]","[[0, 0], [4, 5], [7, 7], [14, 15]]","[[0, 0], [4, 5], [7, 7], [14, 15]]",6,6,"[[0, 0], [4, 5], [7, 7], [14, 15]]","[[0, 0], [4, 5], [7, 7], [14, 15]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
12,附件3_12,附件3_12.pkl,15,derived_q2a_candidate_because_no_explicit_mask,False,4,4,4,"[[0, 0], [5, 5], [13, 14]]","[[0, 0], [5, 5], [13, 14]]","[[0, 0], [5, 5], [13, 14]]",4,4,"[[0, 0], [5, 5], [13, 14]]","[[0, 0], [5, 5], [13, 14]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
13,附件3_13,附件3_13.pkl,21,derived_q2a_candidate_because_no_explicit_mask,False,4,4,4,"[[0, 0], [5, 5], [14, 14], [20, 20]]","[[0, 0], [5, 5], [14, 14], [20, 20]]","[[0, 0], [5, 5], [14, 14], [20, 20]]",4,4,"[[0, 0], [5, 5], [14, 14], [20, 20]]","[[0, 0], [5, 5], [14, 14], [20, 20]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
14,附件3_14,附件3_14.pkl,25,derived_q2a_candidate_because_no_explicit_mask,False,4,4,4,"[[0, 0], [21, 22], [24, 24]]","[[0, 0], [21, 22], [24, 24]]","[[0, 0], [21, 22], [24, 24]]",4,4,"[[0, 0], [21, 22], [24, 24]]","[[0, 0], [21, 22], [24, 24]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
15,附件3_15,附件3_15.pkl,29,derived_q2a_candidate_because_no_explicit_mask,False,5,5,5,"[[0, 0], [2, 2], [6, 6], [18, 18], [28, 28]]","[[0, 0], [2, 2], [6, 6], [18, 18], [28, 28]]","[[0, 0], [2, 2], [6, 6], [18, 18], [28, 28]]",5,5,"[[0, 0], [2, 2], [6, 6], [18, 18], [28, 28]]","[[0, 0], [2, 2], [6, 6], [18, 18], [28, 28]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
16,附件3_16,附件3_16.pkl,36,derived_q2a_candidate_because_no_explicit_mask,False,6,6,6,"[[0, 0], [5, 5], [10, 10], [21, 21], [25, 25], [35, 35]]","[[0, 0], [5, 5], [10, 10], [21, 21], [25, 25], [35, 35]]","[[0, 0], [5, 5], [10, 10], [21, 21], [25, 25], [35, 35]]",6,6,"[[0, 0], [5, 5], [10, 10], [21, 21], [25, 25], [35, 35]]","[[0, 0], [5, 5], [10, 10], [21, 21], [25, 25], [35, 35]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
17,附件3_17,附件3_17.pkl,24,derived_q2a_candidate_because_no_explicit_mask,False,10,10,10,"[[0, 3], [5, 5], [12, 12], [15, 15], [18, 18], [21, 21], [23, 23]]","[[0, 3], [5, 5], [12, 12], [15, 15], [18, 18], [21, 21], [23, 23]]","[[0, 3], [5, 5], [12, 12], [15, 15], [18, 18], [21, 21], [23, 23]]",10,10,"[[0, 3], [5, 5], [12, 12], [15, 15], [18, 18], [21, 21], [23, 23]]","[[0, 3], [5, 5], [12, 12], [15, 15], [18, 18], [21, 21], [23, 23]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
18,附件3_18,附件3_18.pkl,19,derived_q2a_candidate_because_no_explicit_mask,False,5,5,5,"[[0, 0], [2, 3], [5, 5], [18, 18]]","[[0, 0], [2, 3], [5, 5], [18, 18]]","[[0, 0], [2, 3], [5, 5], [18, 18]]",5,5,"[[0, 0], [2, 3], [5, 5], [18, 18]]","[[0, 0], [2, 3], [5, 5], [18, 18]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
19,附件3_19,附件3_19.pkl,26,derived_q2a_candidate_because_no_explicit_mask,False,9,9,9,"[[0, 0], [3, 4], [7, 8], [13, 13], [17, 17], [21, 21], [25, 25]]","[[0, 0], [3, 4], [7, 8], [13, 13], [17, 17], [21, 21], [25, 25]]","[[0, 0], [3, 4], [7, 8], [13, 13], [17, 17], [21, 21], [25, 25]]",9,9,"[[0, 0], [3, 4], [7, 8], [13, 13], [17, 17], [21, 21], [25, 25]]","[[0, 0], [3, 4], [7, 8], [13, 13], [17, 17], [21, 21], [25, 25]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
20,附件3_20,附件3_20.pkl,50,derived_q2a_candidate_because_no_explicit_mask,False,16,16,16,"[[0, 0], [6, 6], [8, 9], [11, 11], [21, 21], [26, 26], [31, 31], [38, 41], [43, 44], [48, 49]]","[[0, 0], [6, 6], [8, 9], [11, 11], [21, 21], [26, 26], [31, 31], [38, 41], [43, 44], [48, 49]]","[[0, 0], [6, 6], [8, 9], [11, 11], [21, 21], [26, 26], [31, 31], [38, 41], [43, 44], [48, 49]]",16,16,"[[0, 0], [6, 6], [8, 9], [11, 11], [21, 21], [26, 26], [31, 31], [38, 41], [43, 44], [48, 49]]","[[0, 0], [6, 6], [8, 9], [11, 11], [21, 21], [26, 26], [31, 31], [38, 41], [43, 44], [48, 49]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
21,附件3_21,附件3_21.pkl,11,derived_q2a_candidate_because_no_explicit_mask,False,5,5,5,"[[0, 0], [2, 2], [4, 4], [8, 8], [10, 10]]","[[0, 0], [2, 2], [4, 4], [8, 8], [10, 10]]","[[0, 0], [2, 2], [4, 4], [8, 8], [10, 10]]",5,5,"[[0, 0], [2, 2], [4, 4], [8, 8], [10, 10]]","[[0, 0], [2, 2], [4, 4], [8, 8], [10, 10]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
22,附件3_22,附件3_22.pkl,19,derived_q2a_candidate_because_no_explicit_mask,False,6,6,6,"[[0, 0], [7, 7], [12, 12], [14, 14], [16, 16], [18, 18]]","[[0, 0], [7, 7], [12, 12], [14, 14], [16, 16], [18, 18]]","[[0, 0], [7, 7], [12, 12], [14, 14], [16, 16], [18, 18]]",6,6,"[[0, 0], [7, 7], [12, 12], [14, 14], [16, 16], [18, 18]]","[[0, 0], [7, 7], [12, 12], [14, 14], [16, 16], [18, 18]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
23,附件3_23,附件3_23.pkl,15,derived_q2a_candidate_because_no_explicit_mask,False,6,6,6,"[[0, 0], [6, 6], [10, 12], [14, 14]]","[[0, 0], [6, 6], [10, 12], [14, 14]]","[[0, 0], [6, 6], [10, 12], [14, 14]]",6,6,"[[0, 0], [6, 6], [10, 12], [14, 14]]","[[0, 0], [6, 6], [10, 12], [14, 14]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
24,附件3_24,附件3_24.pkl,10,derived_q2a_candidate_because_no_explicit_mask,False,4,4,4,"[[0, 1], [7, 7], [9, 9]]","[[0, 1], [7, 7], [9, 9]]","[[0, 1], [7, 7], [9, 9]]",4,4,"[[0, 1], [7, 7], [9, 9]]","[[0, 1], [7, 7], [9, 9]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
25,附件3_25,附件3_25.pkl,11,derived_q2a_candidate_because_no_explicit_mask,False,4,4,4,"[[0, 1], [5, 5], [10, 10]]","[[0, 1], [5, 5], [10, 10]]","[[0, 1], [5, 5], [10, 10]]",4,4,"[[0, 1], [5, 5], [10, 10]]","[[0, 1], [5, 5], [10, 10]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
26,附件3_26,附件3_26.pkl,24,derived_q2a_candidate_because_no_explicit_mask,False,8,8,8,"[[0, 1], [5, 5], [11, 11], [15, 16], [22, 23]]","[[0, 1], [5, 5], [11, 11], [15, 16], [22, 23]]","[[0, 1], [5, 5], [11, 11], [15, 16], [22, 23]]",8,8,"[[0, 1], [5, 5], [11, 11], [15, 16], [22, 23]]","[[0, 1], [5, 5], [11, 11], [15, 16], [22, 23]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
27,附件3_27,附件3_27.pkl,23,derived_q2a_candidate_because_no_explicit_mask,False,10,10,10,"[[0, 0], [2, 4], [7, 7], [10, 10], [18, 18], [20, 22]]","[[0, 0], [2, 4], [7, 7], [10, 10], [18, 18], [20, 22]]","[[0, 0], [2, 4], [7, 7], [10, 10], [18, 18], [20, 22]]",10,10,"[[0, 0], [2, 4], [7, 7], [10, 10], [18, 18], [20, 22]]","[[0, 0], [2, 4], [7, 7], [10, 10], [18, 18], [20, 22]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
28,附件3_28,附件3_28.pkl,35,derived_q2a_candidate_because_no_explicit_mask,False,13,13,13,"[[0, 0], [6, 7], [10, 12], [21, 22], [26, 27], [29, 29], [31, 31], [34, 34]]","[[0, 0], [6, 7], [10, 12], [21, 22], [26, 27], [29, 29], [31, 31], [34, 34]]","[[0, 0], [6, 7], [10, 12], [21, 22], [26, 27], [29, 29], [31, 31], [34, 34]]",13,13,"[[0, 0], [6, 7], [10, 12], [21, 22], [26, 27], [29, 29], [31, 31], [34, 34]]","[[0, 0], [6, 7], [10, 12], [21, 22], [26, 27], [29, 29], [31, 31], [34, 34]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
29,附件3_29,附件3_29.pkl,20,derived_q2a_candidate_because_no_explicit_mask,False,10,10,10,"[[0, 0], [2, 2], [7, 10], [15, 15], [17, 19]]","[[0, 0], [2, 2], [7, 10], [15, 15], [17, 19]]","[[0, 0], [2, 2], [7, 10], [15, 15], [17, 19]]",10,10,"[[0, 0], [2, 2], [7, 10], [15, 15], [17, 19]]","[[0, 0], [2, 2], [7, 10], [15, 15], [17, 19]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
30,附件3_30,附件3_30.pkl,26,derived_q2a_candidate_because_no_explicit_mask,False,14,14,14,"[[0, 1], [4, 4], [7, 10], [14, 14], [18, 18], [20, 23], [25, 25]]","[[0, 1], [4, 4], [7, 10], [14, 14], [18, 18], [20, 23], [25, 25]]","[[0, 1], [4, 4], [7, 10], [14, 14], [18, 18], [20, 23], [25, 25]]",14,14,"[[0, 1], [4, 4], [7, 10], [14, 14], [18, 18], [20, 23], [25, 25]]","[[0, 1], [4, 4], [7, 10], [14, 14], [18, 18], [20, 23], [25, 25]]","{""text_bert"": ""test.text_bert"", ""audio"": ""test.audio"", ""vision"": ""test.vision"", ""id"": null}"
