sample_index,sample_id,rank,time_s,frame_index,frame_path,readable
7,07,1,12.42,373,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_07\vision_rank01.png,True
7,07,2,13.6,408,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_07\vision_rank02.png,True
7,07,3,4.675,140,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_07\vision_rank03.png,True
8,08,1,1.89,57,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_08\vision_rank01.png,True
8,08,2,1.26,38,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_08\vision_rank02.png,True
8,08,3,3.06,92,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_08\vision_rank03.png,True
9,09,1,3.4,102,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_09\vision_rank01.png,True
9,09,2,2.99,90,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_09\vision_rank02.png,True
9,09,3,0.6899999999999995,21,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_09\vision_rank03.png,True
10,10,1,2.41,72,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_10\vision_rank01.png,True
10,10,2,3.24,97,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_10\vision_rank02.png,True
10,10,3,5.35,160,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_10\vision_rank03.png,True
11,11,1,4.5,135,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_11\vision_rank01.png,True
11,11,2,2.17,65,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_11\vision_rank02.png,True
11,11,3,0.95,28,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_11\vision_rank03.png,True
12,12,1,8.815,264,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_12\vision_rank01.png,True
12,12,2,9.36,281,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_12\vision_rank02.png,True
12,12,3,5.359999999999999,161,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_12\vision_rank03.png,True
13,13,1,1.24,37,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_13\vision_rank01.png,True
13,13,2,2.85,86,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_13\vision_rank02.png,True
13,13,3,6.9,207,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_13\vision_rank03.png,True
14,14,1,8.45,253,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_14\vision_rank01.png,True
14,14,2,0.38,11,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_14\vision_rank02.png,True
14,14,3,3.02,91,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_14\vision_rank03.png,True
15,15,1,6.885,207,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_15\vision_rank01.png,True
15,15,2,7.2971562500000005,219,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_15\vision_rank02.png,True
15,15,3,6.37,191,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_15\vision_rank03.png,True
16,16,1,1.2000000000000002,36,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_16\vision_rank01.png,True
16,16,2,1.8050000000000002,54,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_16\vision_rank02.png,True
16,16,3,0.39,12,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_16\vision_rank03.png,True
17,17,1,7.78,233,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_17\vision_rank01.png,True
17,17,2,5.83,175,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_17\vision_rank02.png,True
17,17,3,8.385,252,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_17\vision_rank03.png,True
18,18,1,13.98,419,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_18\vision_rank01.png,True
18,18,2,11.67,350,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_18\vision_rank02.png,True
18,18,3,14.600000000000001,438,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_18\vision_rank03.png,True
19,19,1,11.719999999999999,352,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_19\vision_rank01.png,True
19,19,2,11.41,342,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_19\vision_rank02.png,True
19,19,3,12.39,372,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_19\vision_rank03.png,True
20,20,1,2.96,89,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_20\vision_rank01.png,True
20,20,2,1.9000000000000001,57,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_20\vision_rank02.png,True
20,20,3,3.9,117,D:\Desktop\shumo\E题数据\Q3_HybridFinal_outputs\representative_frames\sample_20\vision_rank03.png,True
