pkl_path,pkl_name,pkl_sha256,load_status,error,sample_id,raw_text,raw_text_chars,raw_text_words,keys,label_like_keys,text_bert_shape,text_present,text_shape,audio_shape,vision_shape,content_length,attention_prefix_contiguous,cls_present,sep_present_inside_valid,audio_finite,vision_finite,text_finite,audio_zero_inside_content,vision_zero_inside_content,audio_longest_zero_run_inside_content,vision_longest_zero_run_inside_content,core_shape_pass,core_finite_pass,text_interface_pass,mapping_prereq_feature_pass
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\11.pkl,11.pkl,6e4c4b2fe76d6bbc56d1d21447ec9dff5309adb1227de8adab116ff703f42ffb,PASS,,11,I would be ashamed to have made this film if I was a director,61,14,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",16,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\12.pkl,12.pkl,5d003f471f20ac8d51553c3b217fc594075067a4c806fc07139839d681a97032,PASS,,12,"Or worse, an individual previously had good credit, but usually by no fault of their own, or perhaps by fault of their own, they have let their credit sag, and credit scores is very low.",186,35,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",44,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\13.pkl,13.pkl,e2d3d3c55bc52e7178e6e7f9b28e677018f14c76966d9ec5ac486d8fbbfd8281,PASS,,13,"For example, I could take a set of data and from that data, I can find a relationship between any two of the given factors or more.",131,27,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",32,True,True,True,True,True,True,2,32,1,32,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\14.pkl,14.pkl,5a07719d0610e979be9cc58f4137c951259048fe6ab9918cafd9e27d62f0b5dd,PASS,,14,He is the co-founder of Rossen and Vettese Limited and the former Executive Director of Uniform Final Examination (UFE) courses at Toronto's York University.,157,24,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",37,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\15.pkl,15.pkl,1fd8521f61b769038a991088f11a9693e0ad9f05ad92f9924d502cc147a7cd1f,PASS,,15,"However, despite their poverty, the family prioritize education because they believed in its power to transform lives",117,17,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",23,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\16.pkl,16.pkl,5528f121c021c3648f41e013e829c0a73870eafbbde73415147a074be81d722f,PASS,,16,"It's a terrible, this is a terrible movie",41,8,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",13,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\17.pkl,17.pkl,7b841ea3fdea42ef7d0ba607d90ea61a86a44066eb4ee3d1a70e8180a7b47796,PASS,,17,"Applying these four design concepts to your presentations is simple, easy and will make people think you turned into a design guru.",131,22,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",26,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\18.pkl,18.pkl,1fc0a00c832183dceeae626937716da6c4c096f621a7706c9268b76dedfa7f06,PASS,,18,"-And in Denmark - the first Baltic Cod fishery has been MSC – certified -Meanwhile, the Faeroese Mackerel Fishery has been denied MSC certification based on the fact that the fishery has failed to reach an agreement on mackerel quotas with Norway and the European Union.",270,44,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",50,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\19.pkl,19.pkl,ef099682c44a9e6ba5135a74d4babf12a91ba5ee2895b32d191679244dd1c221,PASS,,19,"People are surprisingly forgiving brands when they own up to mistakes, and unfortunately some haters out there love to point fingers and jump all over imperfections, but for the most part, people understand",206,33,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",41,True,True,True,True,True,True,2,2,1,1,True,True,True,True
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\20.pkl,20.pkl,c9aed197e075fa99518e71cbb2ed17406178d9237d40c785409eacf1fa7f1a68,PASS,,20,"And of course, click in the link of the description of this video for more, and we'll have more live updates and a stock market video (wrap-up) at the end of the day today.",172,34,audio|id|raw_text|text|text_bert|vision,,"(3, 50)",True,"(50, 768)","(50, 74)","(50, 35)",45,True,True,True,True,True,True,2,2,1,1,True,True,True,True
