sample_index,sample_id,video_path,readable,fps,frame_count,duration_s,first_frame_readable,audit_type,rank,frame_index,frame_path,within_bounds
16,16,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\16.mp4,True,30.0,167.0,5.566666666666666,1.0,video_source,,0,,True
17,17,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\17.mp4,True,30.0,419.0,13.966666666666667,1.0,video_source,,0,,True
18,18,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\18.mp4,True,30.0,686.0,22.866666666666667,1.0,video_source,,0,,True
19,19,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\19.mp4,True,30.0,561.0,18.7,1.0,video_source,,0,,True
20,20,D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\20.mp4,True,30.0,561.0,18.7,1.0,video_source,,0,,True
1,01,,True,,,,,representative_frame,1.0,49,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_01\vision_rank1.jpg,True
1,01,,True,,,,,representative_frame,2.0,142,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_01\vision_rank2.jpg,True
1,01,,True,,,,,representative_frame,3.0,49,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_01\vision_rank3.jpg,True
2,02,,True,,,,,representative_frame,1.0,38,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_02\vision_rank1.jpg,True
2,02,,True,,,,,representative_frame,2.0,38,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_02\vision_rank2.jpg,True
2,02,,True,,,,,representative_frame,3.0,57,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_02\vision_rank3.jpg,True
3,03,,True,,,,,representative_frame,1.0,91,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_03\vision_rank1.jpg,True
3,03,,True,,,,,representative_frame,2.0,91,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_03\vision_rank2.jpg,True
3,03,,True,,,,,representative_frame,3.0,70,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_03\vision_rank3.jpg,True
4,04,,True,,,,,representative_frame,1.0,24,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_04\vision_rank1.jpg,True
4,04,,True,,,,,representative_frame,2.0,116,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_04\vision_rank2.jpg,True
4,04,,True,,,,,representative_frame,3.0,116,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_04\vision_rank3.jpg,True
5,05,,True,,,,,representative_frame,1.0,71,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_05\vision_rank1.jpg,True
5,05,,True,,,,,representative_frame,2.0,71,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_05\vision_rank2.jpg,True
5,05,,True,,,,,representative_frame,3.0,30,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_05\vision_rank3.jpg,True
6,06,,True,,,,,representative_frame,1.0,96,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_06\vision_rank1.jpg,True
6,06,,True,,,,,representative_frame,2.0,68,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_06\vision_rank2.jpg,True
6,06,,True,,,,,representative_frame,3.0,55,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_06\vision_rank3.jpg,True
7,07,,True,,,,,representative_frame,1.0,424,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_07\vision_rank1.jpg,True
7,07,,True,,,,,representative_frame,2.0,424,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_07\vision_rank2.jpg,True
7,07,,True,,,,,representative_frame,3.0,280,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_07\vision_rank3.jpg,True
8,08,,True,,,,,representative_frame,1.0,57,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_08\vision_rank1.jpg,True
8,08,,True,,,,,representative_frame,2.0,57,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_08\vision_rank2.jpg,True
9,09,,True,,,,,representative_frame,1.0,88,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_09\vision_rank1.jpg,True
9,09,,True,,,,,representative_frame,2.0,88,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_09\vision_rank2.jpg,True
10,10,,True,,,,,representative_frame,1.0,174,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_10\vision_rank1.jpg,True
10,10,,True,,,,,representative_frame,2.0,63,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_10\vision_rank2.jpg,True
10,10,,True,,,,,representative_frame,3.0,88,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_10\vision_rank3.jpg,True
11,11,,True,,,,,representative_frame,1.0,69,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_11\vision_rank1.jpg,True
11,11,,True,,,,,representative_frame,2.0,25,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_11\vision_rank2.jpg,True
11,11,,True,,,,,representative_frame,3.0,69,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_11\vision_rank3.jpg,True
12,12,,True,,,,,representative_frame,1.0,57,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_12\vision_rank1.jpg,True
12,12,,True,,,,,representative_frame,2.0,133,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_12\vision_rank2.jpg,True
12,12,,True,,,,,representative_frame,3.0,185,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_12\vision_rank3.jpg,True
14,14,,True,,,,,representative_frame,1.0,106,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_14\vision_rank1.jpg,True
14,14,,True,,,,,representative_frame,2.0,27,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_14\vision_rank2.jpg,True
14,14,,True,,,,,representative_frame,3.0,257,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_14\vision_rank3.jpg,True
15,15,,True,,,,,representative_frame,1.0,219,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_15\vision_rank1.jpg,True
15,15,,True,,,,,representative_frame,2.0,219,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_15\vision_rank2.jpg,True
15,15,,True,,,,,representative_frame,3.0,219,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_15\vision_rank3.jpg,True
16,16,,True,,,,,representative_frame,1.0,29,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_16\vision_rank1.jpg,True
16,16,,True,,,,,representative_frame,2.0,68,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_16\vision_rank2.jpg,True
17,17,,True,,,,,representative_frame,1.0,90,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_17\vision_rank1.jpg,True
17,17,,True,,,,,representative_frame,2.0,90,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_17\vision_rank2.jpg,True
18,18,,True,,,,,representative_frame,1.0,54,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_18\vision_rank1.jpg,True
18,18,,True,,,,,representative_frame,2.0,54,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_18\vision_rank2.jpg,True
18,18,,True,,,,,representative_frame,3.0,371,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_18\vision_rank3.jpg,True
19,19,,True,,,,,representative_frame,1.0,248,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_19\vision_rank1.jpg,True
19,19,,True,,,,,representative_frame,2.0,199,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_19\vision_rank2.jpg,True
19,19,,True,,,,,representative_frame,3.0,91,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_19\vision_rank3.jpg,True
20,20,,True,,,,,representative_frame,1.0,106,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_20\vision_rank1.jpg,True
20,20,,True,,,,,representative_frame,2.0,106,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_20\vision_rank2.jpg,True
