sample_index,sample_id,modality,rank,start_aligned_position,end_aligned_position,score,source_scale,classification_effect,regression_effect,raw_evidence,start_s,end_s,representative_time_s,mapping_status,frame_index,frame_path
6,06,V,2,12,15,0.08018634410615247,5,-0.61923828125,0.12773448228835999,,1.9,2.62,2.25,PASS,68,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_06\vision_rank2.jpg
6,06,V,3,10,11,0.038948821518345944,1,-0.30696614583333337,0.06204432447751323,,1.6,1.9,1.83,PASS,55,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_06\vision_rank3.jpg
7,07,V,1,35,46,0.5772910977122009,5,0.9486328125000001,1.077083860834441,,10.9,14.78,14.135000000000002,PASS,424,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_07\vision_rank1.jpg
7,07,V,2,44,44,0.05983547520688808,peak,0.10579427083333334,0.09721358637015035,,14.05,14.22,14.135000000000002,PASS,424,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_07\vision_rank2.jpg
7,07,V,3,27,28,0.058396308318836895,1,0.07197265624999999,0.15463550607363408,,9.08,9.39,9.335,PASS,280,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_07\vision_rank3.jpg
8,08,V,1,5,7,0.18459151558336495,5,-1.3821614583333333,0.3486328929662699,,1.42,1.96,1.905,PASS,57,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_08\vision_rank1.jpg
8,08,V,2,7,9,0.17496724770931843,1,-1.2740885416666667,0.3304558042685186,,1.85,3.04,1.905,PASS,57,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_08\vision_rank2.jpg
9,09,V,1,12,16,0.7211890087003072,1,0.3466145833333333,0.18562530040740696,,2.36,3.14,2.9299999999999997,PASS,88,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_09\vision_rank1.jpg
9,09,V,2,15,15,0.1833961020844591,peak,0.08867187499999998,0.04687505841255135,,2.88,2.98,2.9299999999999997,PASS,88,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_09\vision_rank2.jpg
10,10,V,1,22,26,0.21442715959597222,5,0.41809895833333344,0.16677114625771572,,5.3,7.14,5.81,PASS,174,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_10\vision_rank1.jpg
10,10,V,2,8,9,0.08011161821229124,3,0.1412109375,0.06875012516975304,,2.0,2.44,2.1100000000000003,PASS,63,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_10\vision_rank2.jpg
10,10,V,3,12,13,0.07639422227695494,1,0.16432291666666665,0.05281262516975324,,2.82,3.5,2.9299999999999997,PASS,88,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_10\vision_rank3.jpg
11,11,V,1,5,8,0.3746292892784937,5,0.8052083333333333,0.601926475365955,,1.26,3.86,2.29,PASS,69,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_11\vision_rank1.jpg
11,11,V,2,2,3,0.13729509015471758,1,0.267578125,0.24083309690157495,,0.64,0.88,0.8200000000000001,PASS,25,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_11\vision_rank2.jpg
11,11,V,3,5,5,0.09829562940844676,1,0.19798177083333335,0.16770818134148874,,1.26,3.32,2.29,PASS,69,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_11\vision_rank3.jpg
12,12,V,1,3,7,0.12915563860283488,3,0.6830078125,0.3869787804285664,,1.0,2.7,1.91,PASS,57,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_12\vision_rank1.jpg
12,12,V,2,10,13,0.11298811243086695,5,0.5550130208333333,0.3642705114682497,,3.38,5.28,4.43,PASS,133,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_12\vision_rank2.jpg
12,12,V,3,18,21,0.1107087204417203,5,0.5771809895833333,0.3367184281349163,,6.06,7.4,6.154999999999999,PASS,185,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_12\vision_rank3.jpg
14,14,V,1,16,20,0.10676337600059209,5,-0.8635091145833333,0.08345065494378484,,3.28,4.94,3.55,PASS,106,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_14\vision_rank1.jpg
14,14,V,2,3,6,0.07989319592858697,1,-0.12604166666666666,0.06244781474272351,,0.68,1.22,0.9099999999999999,PASS,27,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_14\vision_rank2.jpg
14,14,V,3,30,31,0.036998208281957864,5,-0.33388671875,0.02891932447751396,,8.36,8.653333333333334,8.58,PASS,257,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_14\vision_rank3.jpg
15,15,V,1,8,12,0.35877610833592816,5,-0.07337239583333334,0.15932328681151142,,7.3,7.3143125,7.3143125,PASS,219,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_15\vision_rank1.jpg
15,15,V,2,21,21,0.20953549368332883,1,0.0261474609375,0.02755212446053825,,7.3143125,7.3143125,7.3143125,PASS,219,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_15\vision_rank2.jpg
15,15,V,3,9,9,0.13380740291191134,1,0.012117513020833333,0.040781330466270645,,7.3143125,7.3143125,7.3143125,PASS,219,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_15\vision_rank3.jpg
16,16,V,1,5,7,0.4179944600828486,5,0.4594401041666667,0.16364580651124142,,0.78,1.1700000000000002,0.9500000000000001,PASS,29,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_16\vision_rank1.jpg
16,16,V,2,11,11,0.038427739258971895,1,0.04296875,0.014791662096976993,,2.06,2.44,2.25,PASS,68,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_16\vision_rank2.jpg
17,17,V,1,4,9,0.4516956771180194,3,0.8577311197916667,0.44307381848494276,,1.68,4.44,3.01,PASS,90,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_17\vision_rank1.jpg
17,17,V,2,7,7,0.08303539348294156,peak,0.159033203125,0.0807293186585111,,2.94,3.08,3.01,PASS,90,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_17\vision_rank2.jpg
18,18,V,1,5,16,0.32094746940166696,5,0.9348632812500001,0.6706786926587387,,1.64,6.47,1.81,PASS,54,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_18\vision_rank1.jpg
18,18,V,2,7,8,0.05683329995877881,1,0.17006835937500003,0.11500026822090093,,1.7,2.32,1.81,PASS,54,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_18\vision_rank2.jpg
18,18,V,3,38,39,0.05105149355207396,3,0.14443359374999998,0.11023464322090087,,12.16,12.68,12.370000000000001,PASS,371,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_18\vision_rank3.jpg
19,19,V,1,17,26,0.38173611275775604,3,2.4173319498697916,0.6608592855930339,,6.28,9.32,8.25,PASS,248,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_19\vision_rank1.jpg
19,19,V,2,17,18,0.07687922530762713,1,0.5136932373046874,0.12707029461860686,,6.28,6.74,6.625,PASS,199,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_19\vision_rank2.jpg
19,19,V,3,8,9,0.06203110588748674,1,0.4370798746744792,0.09746091961860681,,2.96,3.42,3.04,PASS,91,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_19\vision_rank3.jpg
20,20,V,1,9,19,0.5478188576839204,3,2.2120768229166665,0.996587853233021,,1.92,4.713333333333333,3.525,PASS,106,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_20\vision_rank1.jpg
20,20,V,2,16,16,0.05317112425224642,peak,0.21708984375,0.09528639574845643,,3.44,3.61,3.525,PASS,106,D:\Desktop\shumo\E题数据\Q3E_outputs\representative_frames\sample_20\vision_rank2.jpg
