sample_index,sample_id,modality,rank,start_index,end_index,score,source_scale,words,wordpiece_start,wordpiece_end
7,101787$_$11,T,3,12,12,0.06544056618544367,peak,has,14,14
8,101787$_$13,T,1,11,14,0.45483973785361365,2,except castaway is really,14,18
8,101787$_$13,T,2,11,11,0.17742090723727422,1,except,14,14
8,101787$_$13,T,3,0,0,0.08373957328433786,1,it,1,1
9,101787$_$1,T,1,5,8,0.34006633669701947,3,"ford , semi -",7,10
9,101787$_$1,T,2,10,11,0.152342610644806,2,", more",12,13
9,101787$_$1,T,3,7,7,0.10719536766524246,1,semi,9,9
10,101787$_$5,T,1,10,13,0.44180080721482484,2,not not worth the,11,14
10,101787$_$5,T,2,12,12,0.14495001403390562,1,worth,13,13
10,101787$_$5,T,3,1,2,0.11241214834685206,1,umm ),2,3
11,101787$_$7,T,1,4,5,0.4529044053016194,2,good scenery,5,6
11,101787$_$7,T,2,2,2,0.13286467375203964,1,actually,3,3
12,101787$_$9,T,1,12,16,0.3915075617232353,3,"character , a gruff cargo",14,18
12,101787$_$9,T,2,16,17,0.2837661072962498,2,cargo pilot,18,19
12,101787$_$9,T,3,14,14,0.07611537705994768,1,a,16,16
13,102408$_$2,T,1,3,4,0.49853567447130365,2,not necessarily,4,5
13,102408$_$2,T,2,5,5,0.10467971884670482,1,by,6,6
14,102408$_$5,T,1,24,27,0.4098018847185483,2,probably would like this,25,28
14,102408$_$5,T,2,2,5,0.2107804894322361,3,' t wait til,3,6
14,102408$_$5,T,3,26,26,0.15367750564409965,peak,like,27,27
15,102408$_$9,T,1,24,26,0.1887451110882356,2,) characters like,26,28
15,102408$_$9,T,2,1,3,0.15326336621188308,2,it ' s,2,4
15,102408$_$9,T,3,15,17,0.10916833090215984,3,' m not,16,18
16,102858$_$20,T,1,10,12,0.21131146087457245,1,"it , you",11,13
16,102858$_$20,T,2,21,22,0.1328391930717925,2,holiday dvd,22,23
16,102858$_$20,T,3,1,1,0.056482384698643806,1,thing,2,2
17,102858$_$21,T,1,6,12,0.49384864156156744,3,"a four out of , ( stutter",7,14
17,102858$_$21,T,2,12,13,0.13134245815611048,1,stutter ),13,15
17,102858$_$21,T,3,9,9,0.09862233952703114,peak,of,10,10
18,102858$_$1,T,1,13,16,0.29506718112898117,1,dvd review for everybody,19,22
18,102858$_$1,T,2,2,4,0.2778090959108552,3,helsing920 ( stutter,3,10
19,102858$_$0,T,1,0,2,1.0,3,"hello , everybody",1,3
20,102858$_$4,T,1,18,23,0.17427312376072923,3,") adventure , a special i",20,25
20,102858$_$4,T,2,37,42,0.16478367238475586,1,"i was about four , but",40,45
20,102858$_$4,T,3,19,19,0.03338567083951102,1,adventure,21,21
21,102858$_$6,T,1,8,13,0.5260263708224009,2,( stutter ) holiday specials made,9,15
21,102858$_$6,T,2,11,11,0.11657569001873017,peak,holiday,13,13
21,102858$_$6,T,3,5,5,0.040072642367981574,1,of,6,6
22,102858$_$10,T,1,2,4,0.3897255633975343,3,umm ) all,3,5
22,102858$_$10,T,2,4,5,0.28739610526742343,1,all three,5,6
22,102858$_$10,T,3,9,9,0.11301162930873343,1,awesome,10,10
23,102858$_$17,T,1,4,6,0.417361873822008,3,three times in,5,7
23,102858$_$17,T,2,6,7,0.2577175635093544,1,in three,7,8
23,102858$_$17,T,3,1,2,0.2333550929247002,2,watched this,2,3
24,102858$_$19,T,1,4,6,0.3641835633599809,3,garfield ' s,5,7
24,102858$_$19,T,2,0,0,0.09495615745341829,1,so,1,1
24,102858$_$19,T,3,11,11,0.09259838557193373,1,celebrations,12,12
25,112433$_$10,T,1,0,0,0.5,1,okay,1,1
26,112433$_$3,T,1,10,16,0.4686415856822385,3,and underhand dealings and you never know,13,20
26,112433$_$3,T,2,15,15,0.14485450565747648,1,never,19,19
26,112433$_$3,T,3,9,10,0.08366099072070805,2,backstabbing and,10,13
27,112433$_$7,T,1,1,3,0.5431685788653424,2,' re really,2,4
27,112433$_$7,T,2,3,5,0.43859382760419463,3,really not missing,4,6
27,112433$_$7,T,3,6,6,0.1261507030982981,1,out,7,7
28,112433$_$6,T,1,17,22,0.6393172075316729,3,i would not recommend this one,19,24
28,112433$_$6,T,2,19,19,0.21804408882175558,peak,not,21,21
28,112433$_$6,T,3,5,6,0.0802836448607169,1,( uhh,6,8
29,117tQqLjza4$_$6,T,1,7,8,0.23131861718002839,1,of the,8,9
29,117tQqLjza4$_$6,T,2,11,12,0.21299300927761194,1,on the,12,13
30,11j7EfglCAs$_$2,T,1,2,7,0.5871524041553631,3,the fact that the creditor is,4,10
30,11j7EfglCAs$_$2,T,2,6,6,0.2399959711165102,1,creditor,8,9
30,11j7EfglCAs$_$2,T,3,17,18,0.0695086037261343,2,' re,21,22
31,121128$_$10,T,1,8,11,0.6865478279826269,3,kids would enjoy it,9,12
31,121128$_$10,T,2,10,10,0.3589427750126848,peak,enjoy,11,11
31,121128$_$10,T,3,5,5,0.06874284589163465,1,still,6,6
32,121128$_$1,T,1,4,6,0.1889852745141581,3,' s a,6,8
32,121128$_$1,T,2,0,2,0.17542216513207654,2,( uhh ),1,4
32,121128$_$1,T,3,8,10,0.16226615960019355,3,about a rat,10,12
33,121128$_$0,T,1,1,2,0.401093464231706,3,is a,2,3
33,121128$_$0,T,2,6,6,0.13611516845346713,1,movie,7,7
33,121128$_$0,T,3,5,5,0.1351007767000061,2,the,6,6
34,121128$_$5,T,1,4,5,0.2850365257171081,3,movie was,5,6
34,121128$_$5,T,2,6,6,0.20968795190257944,1,excellent,7,7
34,121128$_$5,T,3,1,1,0.17448533774478325,2,umm,2,2
35,125344$_$0,T,1,32,37,0.22274904502809464,3,old but ( stutter ) he,33,39
35,125344$_$0,T,2,24,27,0.12485481322430482,2,one no no he,25,28
35,125344$_$0,T,3,8,10,0.07338469826541656,1,yes harry potter,9,11
36,125676$_$0,T,1,8,11,0.484457135453667,2,dvd ten items or,9,12
36,125676$_$0,T,2,9,9,0.14070234852465122,peak,ten,10,10
36,125676$_$0,T,3,5,5,0.09324985843026104,1,gonna,6,6
37,125676$_$4,T,1,10,16,0.4179095081423627,3,you really learn to enjoy their (,11,17
37,125676$_$4,T,2,14,15,0.1608003372893907,1,enjoy their,15,16
37,125676$_$4,T,3,10,11,0.11838418393421624,2,you really,11,12
38,128059$_$11,T,1,1,4,0.1847837089654017,3,' s not even,2,5
38,128059$_$11,T,2,32,35,0.14147190779836608,1,you probably wanna pick,33,36
38,128059$_$11,T,3,3,3,0.0720418570245208,1,not,4,4
39,128059$_$12,T,1,6,8,0.22341666077514521,3,not so bad,8,10
39,128059$_$12,T,2,11,12,0.19190872670642756,2,) you,14,15
39,128059$_$12,T,3,5,5,0.1063388846421764,1,is,7,7
40,128059$_$2,T,1,5,8,0.6457255246232887,3,' m not a,6,9
40,128059$_$2,T,2,7,7,0.28743806810476596,peak,not,8,8
40,128059$_$2,T,3,2,2,0.08229421483256583,1,',3,3
41,128059$_$7,T,1,24,29,0.18269373393352636,3,s a team of scientists that,27,32
41,128059$_$7,T,2,4,7,0.14207073027537007,3,"know , if you",6,9
41,128059$_$7,T,3,32,34,0.10347554263042906,2,into space to,35,37
42,128059$_$6,T,1,32,39,0.5545047503600976,2,", gives a pretty decent performance or worthwhile",35,43
42,128059$_$6,T,2,22,25,0.1867179586317559,2,actress too but (,24,27
42,128059$_$6,T,3,36,36,0.11104208416385697,peak,decent,39,39
43,128059$_$9,T,1,14,17,0.5391574316231,1,s ( stutter ),15,19
43,128059$_$9,T,2,16,16,0.2035114581635379,peak,stutter,17,18
43,128059$_$9,T,3,1,2,0.11620443872548299,2,umm ),2,3
44,128763$_$12,T,1,12,16,0.4614291783291863,2,i mean i would suggest,13,17
44,128763$_$12,T,2,13,13,0.1386355687644933,peak,mean,14,14
44,128763$_$12,T,3,17,17,0.08300665512399552,1,it,18,18
45,128763$_$3,T,1,16,21,0.5058024788305553,3,didn ' t like this movie,19,24
45,128763$_$3,T,2,19,19,0.16246385010003178,1,like,22,22
45,128763$_$3,T,3,11,13,0.11755727149538094,1,umm ) i,14,16
46,128763$_$2,T,1,8,10,0.1629578429506243,1,) second movie,10,12
46,128763$_$2,T,2,3,4,0.08870450999021828,3,this is,4,5
46,128763$_$2,T,3,6,6,0.0435431466378213,2,(,7,7
47,128763$_$5,T,1,8,9,0.3942548068980434,1,school team,9,10
47,128763$_$5,T,2,3,5,0.35809991007409575,3,this ( umm,4,6
48,128763$_$7,T,1,14,15,0.1891196929210928,1,would do,15,16
48,128763$_$7,T,2,3,4,0.1686488276365928,1,just trying,4,5
48,128763$_$7,T,3,9,9,0.0645438708256201,2,),10,10
49,128763$_$8,T,1,4,5,0.4475820745042953,3,just trying,5,6
49,128763$_$8,T,2,0,0,0.08787839825779835,1,they,1,1
50,130456$_$11,T,1,18,20,0.29888092784844755,3,and donnie darko,21,24
50,130456$_$11,T,2,20,22,0.2383698590542327,1,darko no matter,23,26
50,130456$_$11,T,3,26,27,0.17899709808050596,2,is is,30,31
51,130456$_$3,T,1,12,16,0.49803761700382737,3,i would give it a,14,18
51,130456$_$3,T,2,13,13,0.12549496289730588,peak,would,15,15
51,130456$_$3,T,3,6,7,0.09863403632070172,1,", out",8,9
52,130456$_$5,T,1,7,9,0.3903778794483028,3,a very weird,8,10
52,130456$_$5,T,2,1,1,0.1064445861529611,1,he,2,2
52,130456$_$5,T,3,4,4,0.08726826817716096,1,he,5,5
53,130456$_$4,T,1,1,5,0.5929203776891249,3,umm ) it follows this,2,6
53,130456$_$4,T,2,4,4,0.22432007912775306,1,follows,5,5
53,130456$_$4,T,3,7,8,0.07803983987267538,2,donnie darko,8,10
54,130456$_$7,T,1,1,2,0.36212482316658734,2,umm ),2,3
54,130456$_$7,T,2,7,7,0.12175554971401868,1,dark,8,8
54,130456$_$7,T,3,5,5,0.07767877373054721,3,s,6,6
55,130456$_$6,T,1,6,12,0.5449963506952712,2,this ( stutter ) like demented bunny,7,15
55,130456$_$6,T,2,10,10,0.10848530683974944,peak,like,12,12
55,130456$_$6,T,3,16,16,0.03209214739263047,3,when,19,19
56,188343$_$13,T,1,14,19,0.26272319550699474,3,uhh ) good for a laugh,17,23
56,188343$_$13,T,2,24,26,0.10039188482129871,1,you really like,28,30
56,188343$_$13,T,3,16,16,0.09078580381957495,1,good,20,20
57,188343$_$12,T,1,13,17,0.41869416870658765,2,( stutter ) not a,15,20
57,188343$_$12,T,2,16,16,0.16006755693998506,1,not,19,19
57,188343$_$12,T,3,20,20,0.051084234098760804,1,movie,23,23
58,188343$_$5,T,1,7,11,0.3493516275574429,3,about to drop in the,8,12
58,188343$_$5,T,2,13,14,0.11669788954474845,1,and (,14,15
58,188343$_$5,T,3,9,9,0.0775682578202401,1,drop,10,10
59,188343$_$9,T,1,19,23,0.36860042973898655,2,uhh ) have a little,22,27
59,188343$_$9,T,2,11,12,0.08639456816207787,3,foreign films,14,15
59,188343$_$9,T,3,23,23,0.08294685286569586,peak,little,27,27
60,188343$_$8,T,1,12,16,0.5240037491470343,2,movie because it just got,14,18
60,188343$_$8,T,2,14,14,0.141989913596353,1,it,16,16
60,188343$_$8,T,3,12,12,0.09791794042473632,1,movie,14,14
61,1HK7Nea0PFo$_$1,T,1,2,6,0.4545822266099261,3,i think our . .,3,7
61,1HK7Nea0PFo$_$1,T,2,12,13,0.14884947070777058,2,. .,13,14
61,1HK7Nea0PFo$_$1,T,3,3,3,0.12308268244840895,1,think,4,4
62,216097$_$1,T,1,5,8,0.5210962981735103,3,really no known actors,6,9
62,216097$_$1,T,2,6,6,0.20161559583263727,peak,no,7,7
62,216097$_$1,T,3,2,3,0.14238188066172056,1,) there,3,4
63,216097$_$2,T,1,9,11,0.17278032490180645,3,pal who did,10,12
63,216097$_$2,T,2,14,15,0.1486741507606732,1,( uhh,15,17
63,216097$_$2,T,3,0,1,0.10735716242289003,1,( umm,1,2
64,216097$_$5,T,1,6,9,0.19555205624936603,3,investors ( stutter ),7,11
64,216097$_$5,T,2,1,3,0.16942748116161366,2,he goes to,2,4
64,216097$_$5,T,3,24,26,0.13174654722444004,1,population is worth,29,31
65,216097$_$4,T,1,13,18,0.42891362718557147,3,and really have no interest in,15,20
65,216097$_$4,T,2,3,7,0.1808197200208673,2,the world governments who think,4,8
65,216097$_$4,T,3,16,16,0.14915468313495803,peak,no,18,18
66,216097$_$7,T,1,1,8,0.322194552443624,3,' s able to save forty people (,2,9
66,216097$_$7,T,2,2,3,0.10998898989512249,1,s able,3,4
66,216097$_$7,T,3,38,40,0.09160562090029983,3,"that hey ,",40,42
67,216097$_$8,T,1,6,8,0.2623369144069324,3,aren ' t,7,9
67,216097$_$8,T,2,4,5,0.21863552584586032,2,special effects,5,6
67,216097$_$8,T,3,1,1,0.08826664391433219,2,umm,2,2
68,223431$_$11,T,1,7,13,0.40218887004632653,3,( stutter ) acting or anything like,8,15
68,223431$_$11,T,2,7,8,0.12003267514010689,1,( stutter,8,10
68,223431$_$11,T,3,10,10,0.07261825018265539,1,acting,12,12
69,223431$_$10,T,1,9,11,0.4148796204069422,2,{ laugh },11,13
69,223431$_$10,T,2,5,5,0.10232407351400856,1,tireless,6,7
70,223431$_$13,T,1,9,13,0.3162612331501982,2,should go see this in,11,15
70,223431$_$13,T,2,4,6,0.15352549518202296,3,don ' t,6,8
70,223431$_$13,T,3,9,9,0.07407151825817107,peak,should,11,11
71,223431$_$0,T,1,0,1,0.5,2,hello expo,1,2
72,223431$_$5,T,1,1,5,0.5600997005931957,2,on earth in a small,2,6
72,223431$_$5,T,2,3,3,0.14373133328265403,peak,in,4,4
72,223431$_$5,T,3,5,5,0.08044882546931163,1,small,6,6
73,225770$_$3,T,1,11,16,0.21919776069829516,1,an the ( stutter ) exorcist,12,21
73,225770$_$3,T,2,3,5,0.11237205227988523,2,i expected something,4,6
73,225770$_$3,T,3,22,24,0.0901144077982497,1,actually shows the,27,29
74,225770$_$5,T,1,3,4,0.6231122895448424,2,at his,4,5
74,225770$_$5,T,2,5,5,0.22121885955605747,1,trial,6,6
74,225770$_$5,T,3,1,1,0.056618930637012094,1,it,2,2
75,225770$_$4,T,1,21,23,0.27931073954012153,3,) performed the,23,25
75,225770$_$4,T,2,23,24,0.2091337688247555,1,the exorcism,25,29
75,225770$_$4,T,3,6,8,0.17251777279848446,3,told ( uhh,7,10
76,225770$_$6,T,1,11,18,0.5229699313597471,3,exorcism and the only time you get to,12,22
76,225770$_$6,T,2,19,20,0.102665426179454,1,see emily,23,24
76,225770$_$6,T,3,12,12,0.09293269211298423,peak,and,16,16
77,236021$_$12,T,1,6,8,0.459688956583375,2,"out , if",8,10
77,236021$_$12,T,2,4,6,0.38475900602200586,1,check it out,6,8
78,236021$_$1,T,1,8,9,0.16244647220674238,1,in theaters,9,10
78,236021$_$1,T,2,5,7,0.14308377382602525,3,s currently out,6,8
78,236021$_$1,T,3,0,2,0.13900712922268832,2,( umm ),1,3
79,236021$_$3,T,1,5,6,0.44088222432587254,2,is silly,6,7
79,236021$_$3,T,2,0,0,0.07764972445408788,1,he,1,1
80,236021$_$2,T,1,42,45,0.3316925224710934,3,doesn ' t really,44,47
80,236021$_$2,T,2,27,31,0.15165550490797414,3,umm ) so they have,28,32
80,236021$_$2,T,3,38,41,0.14158242397413903,2,( umm ) fred,40,43
81,236021$_$5,T,1,9,11,0.30867573384949565,3,kind of a,11,13
81,236021$_$5,T,2,12,13,0.22583314300734808,1,kid movie,14,15
81,236021$_$5,T,3,0,0,0.08874136495882645,1,it,1,1
82,236021$_$4,T,1,16,22,0.2707633131872454,3,the north pole and then it turns,18,24
82,236021$_$4,T,2,4,7,0.12587275647482438,2,( uhh ) steps,5,9
82,236021$_$4,T,3,42,43,0.055543526024391145,3,doesn ',45,46
83,237009$_$11,T,1,2,4,0.42286225557861795,3,") , it",3,5
83,237009$_$11,T,2,4,5,0.24329446798816043,1,it should,5,6
83,237009$_$11,T,3,1,1,0.13265161567382538,2,umm,2,2
84,237009$_$12,T,1,7,14,0.23496399537391702,2,uhh ) you really want to ( umm,8,16
84,237009$_$12,T,2,27,28,0.06276033904833447,2,waste your,30,31
84,237009$_$12,T,3,7,8,0.058117178934529015,1,uhh ),8,10
85,237009$_$4,T,1,11,15,0.49827987701493653,3,) such a good one,12,16
85,237009$_$4,T,2,17,18,0.16706445459108551,1,first time,18,19
85,237009$_$4,T,3,14,14,0.13745271452810212,1,good,15,15
86,237009$_$7,T,1,1,2,0.3957402296032883,2,umm ),2,3
86,237009$_$7,T,2,3,3,0.1511842411839393,3,i,4,4
86,237009$_$7,T,3,7,7,0.14060486959582474,1,disappointed,8,8
87,237009$_$9,T,1,2,4,0.46474825335433634,3,) it ',3,5
87,237009$_$9,T,2,9,9,0.128309392673271,1,not,11,11
87,237009$_$9,T,3,5,5,0.10876582820138264,1,s,6,6
88,241629$_$10,T,1,2,6,0.6642327588331958,3,i would not recommend seeing,3,7
88,241629$_$10,T,2,4,4,0.2535585067654465,peak,not,5,5
88,241629$_$10,T,3,0,1,0.06785782595177434,1,so overall,1,2
89,241629$_$0,T,1,1,3,0.3422982927407046,3,and welcome to,2,4
89,241629$_$0,T,2,10,11,0.21356545174401398,1,- seven,11,12
90,241629$_$3,T,1,11,13,0.3775562270014121,2,really enjoyed and,13,15
90,241629$_$3,T,2,5,8,0.3328218462012432,3,was a hilarious movie,7,10
90,241629$_$3,T,3,7,7,0.10963821909553087,1,hilarious,9,9
91,241629$_$5,T,1,17,19,0.17482814038385225,2,seven hideous bridesmaid,19,23
91,241629$_$5,T,2,9,11,0.17094708816693088,1,- seven different,11,13
91,241629$_$5,T,3,20,20,0.04836074138688696,1,dresses,24,24
92,241629$_$8,T,1,18,21,0.1547825370130418,2,of thing but nothing,20,23
92,241629$_$8,T,2,13,16,0.1285894213358635,3,few laughs and that,15,18
92,241629$_$8,T,3,10,12,0.09156597156435009,2,i had a,12,14
93,243646$_$11,T,1,1,4,0.4462800601718634,1,", like ( stutter",2,6
93,243646$_$11,T,2,16,17,0.1961908085321568,2,t know,18,19
93,243646$_$11,T,3,2,2,0.13774487019197387,peak,like,3,3
94,243646$_$12,T,1,2,13,0.4190056745117693,3,", i didn ' t ( stutter ) think the movie was",3,15
94,243646$_$12,T,2,5,7,0.1338108733946103,2,' t (,6,8
94,243646$_$12,T,3,10,12,0.11939736296023942,1,think the movie,12,14
95,243646$_$9,T,1,0,0,1.0,1,case,1,1
96,243646$_$8,T,1,3,5,0.3221381588970598,3,there ' s,4,6
96,243646$_$8,T,2,0,1,0.26080493388630466,2,( umm,1,2
96,243646$_$8,T,3,11,11,0.07513260065970316,1,see,12,12
97,247318$_$12,T,1,4,7,0.3834157877895732,3,just didn ' t,5,8
97,247318$_$12,T,2,3,4,0.2342994687175059,2,it just,4,5
97,247318$_$12,T,3,8,9,0.19153026156288572,2,do it,9,10
98,247318$_$1,T,1,5,8,0.39732101129872943,3,a review of a,6,9
98,247318$_$1,T,2,8,9,0.1519067157765894,1,a movie,9,10
98,247318$_$1,T,3,13,14,0.1512355733034344,2,the bee,14,15
99,247318$_$3,T,1,3,4,0.5516878601922304,2,for bad,4,5
99,247318$_$3,T,2,0,0,0.17214138501620718,1,b,1,1
100,247318$_$2,T,1,9,12,0.7095717365313845,1,"is exactly that ,",11,14
100,247318$_$2,T,2,11,11,0.21784174658508626,peak,that,13,13
101,247318$_$5,T,1,12,16,0.42939536010657364,3,a kids movie and it,13,17
101,247318$_$5,T,2,14,14,0.12415475517095213,peak,movie,15,15
101,247318$_$5,T,3,2,2,0.0847933356995238,1,supposed,3,3
102,247318$_$7,T,1,4,5,0.45875868007745846,2,very funny,5,6
102,247318$_$7,T,2,0,0,0.15996714995934996,1,it,1,1
103,247318$_$6,T,1,3,4,0.6411496917383936,1,kids movie,4,5
104,252998$_$1,T,1,0,1,0.5348044446616654,2,starring parker,1,2
104,252998$_$1,T,2,8,10,0.10981460465195536,3,umm ) tori,10,12
104,252998$_$1,T,3,3,3,0.03663437132316395,1,",",5,5
105,252998$_$0,T,1,10,11,0.2252612957664259,2,the house,11,12
105,252998$_$0,T,2,6,7,0.2143191054502187,2,to review,7,8
105,252998$_$0,T,3,12,12,0.08343837082404684,1,of,13,13
106,252998$_$5,T,1,29,33,0.23920378213512034,3,kind of ridiculous and (,32,36
106,252998$_$5,T,2,10,13,0.11836283633172133,3,comedy but ( uhh,12,16
106,252998$_$5,T,3,0,2,0.08369568209042755,1,( uhh ),1,4
107,252998$_$4,T,1,4,9,0.28963762173304686,2,his ( stutter ) mother tries,5,11
107,252998$_$4,T,2,20,22,0.10352144248764211,3,s his sister,23,25
107,252998$_$4,T,3,14,15,0.08012593511272437,1,( uhh,16,18
108,252998$_$7,T,1,5,10,0.43272944428315635,3,the best line in the movie,7,12
108,252998$_$7,T,2,4,6,0.21572353825948273,1,think the best,6,8
108,252998$_$7,T,3,25,27,0.16463267920997957,2,' re not,28,30
109,252998$_$8,T,1,1,3,0.416584358269936,2,uhh ) the,2,5
109,252998$_$8,T,2,8,9,0.24479450592158666,1,rounding no,10,11
109,252998$_$8,T,3,4,4,0.12889991884642968,1,house,6,6
110,257247$_$10,T,1,2,3,0.35826431918892526,3,it ',3,4
110,257247$_$10,T,2,7,7,0.1973912215999011,1,bad,8,8
110,257247$_$10,T,3,6,6,0.15154950689209595,2,of,7,7
111,257247$_$12,T,1,15,17,0.2932406736630171,1,recommend watching it,17,19
111,257247$_$12,T,2,8,9,0.13496335886438593,2,", bad",10,11
111,257247$_$12,T,3,5,6,0.13458893111275533,1,", pretty",6,7
112,257247$_$2,T,1,12,15,0.5237001964902723,2,and the day after,14,17
112,257247$_$2,T,2,13,13,0.16967351624626598,peak,the,15,15
112,257247$_$2,T,3,7,8,0.13256937068128274,3,the director,9,10
113,258654$_$1,T,1,15,22,0.28867175504354914,2,dumb things and ( uhh ) basically i,17,25
113,258654$_$1,T,2,28,29,0.048715460836395635,3,out of,32,33
113,258654$_$1,T,3,15,15,0.042384551924586726,1,dumb,17,17
114,258654$_$3,T,1,2,6,0.4704135959237075,3,"a really bad movie ,",3,7
114,258654$_$3,T,2,4,4,0.19925980247778347,peak,bad,5,5
114,258654$_$3,T,3,28,31,0.12414211179951926,3,( uhh ) apparently,30,34
115,258654$_$4,T,1,2,5,0.48442958564137717,2,put the semi -,3,6
115,258654$_$4,T,2,4,4,0.16615050638324413,1,semi,5,5
115,258654$_$4,T,3,2,2,0.11251683491004452,1,put,3,3
116,266791$_$24,T,1,8,9,0.1691619459782222,1,words they,9,10
116,266791$_$24,T,2,1,2,0.1581289961534651,2,it doesn,2,3
116,266791$_$24,T,3,5,5,0.08737820184484482,1,help,6,6
117,266791$_$20,T,1,2,5,0.1813490777495085,2,) with bruce willis,4,7
117,266791$_$20,T,2,10,13,0.1612546287938361,2,( umm ) paul,12,15
117,266791$_$20,T,3,3,3,0.05379338717709006,1,with,5,5
118,266791$_$21,T,1,15,25,0.39942786802351526,3,"wahlberg , who has is notori notoriously ( stutter ) wooden",16,30
118,266791$_$21,T,2,21,21,0.0503294851071619,peak,notoriously,24,25
118,266791$_$21,T,3,15,15,0.03367289891848527,1,wahlberg,16,17
119,266791$_$23,T,1,9,17,0.4703483083839633,3,like they ' re actually looking at cue cards,10,18
119,266791$_$23,T,2,8,11,0.28071905168765376,2,looks like they ',9,12
119,266791$_$23,T,3,10,10,0.1018922457494176,peak,they,11,11
120,266791$_$29,T,1,0,1,1.0,2,obviously cg,1,3
121,266791$_$3,T,1,2,5,0.5795267741586927,2,", who previously directed",5,8
121,266791$_$3,T,2,4,4,0.17431439975340754,peak,previously,7,7
121,266791$_$3,T,3,2,2,0.12284413074130318,1,",",5,5
122,266791$_$5,T,1,14,19,0.3297954828373182,3,not so good movies category (,15,20
122,266791$_$5,T,2,4,5,0.09509278417054369,1,", this",5,6
122,266791$_$5,T,3,1,2,0.08721147366516888,1,umm ),2,3
123,266791$_$4,T,1,1,4,0.5324864736113328,3,the not so good,2,5
123,266791$_$4,T,2,2,2,0.21542055441597402,1,not,3,3
123,266791$_$4,T,3,5,5,0.10021036881014561,1,movies,6,6
124,266791$_$6,T,1,16,18,0.15017895917840035,2,his wife (,21,23
124,266791$_$6,T,2,20,22,0.14861213726849642,3,) and also,25,27
124,266791$_$6,T,3,25,27,0.14372516915614109,2,leguizamo as his,30,35
125,266791$_$8,T,1,6,8,0.42759106240660816,3,this is never,7,9
125,266791$_$8,T,2,8,9,0.3098296473772976,1,never fully,9,10
125,266791$_$8,T,3,5,5,0.12308414218347502,1,of,6,6
126,266791$_$11,T,1,5,7,0.6076720244981324,1,probably a good,6,8
127,266791$_$14,T,1,3,8,0.40532820534656666,3,if that sounds exciting to you,4,9
127,266791$_$14,T,2,20,21,0.10520219550706977,2,"otherwise ,",21,22
127,266791$_$14,T,3,7,7,0.09013589919316725,peak,to,8,8
128,270254$_$23,T,1,1,5,0.4835490522128564,1,to rent it if you,2,6
128,270254$_$23,T,2,2,2,0.10907738938306241,peak,rent,3,3
128,270254$_$23,T,3,9,9,0.0704435986339006,3,desperate,10,10
129,270254$_$0,T,1,0,2,0.4582822626759746,3,"hey everybody ,",1,3
129,270254$_$0,T,2,5,7,0.26990915536011284,2,tom and today,6,8
129,270254$_$0,T,3,4,5,0.1629398119525751,1,is tom,5,6
130,270254$_$6,T,1,14,17,0.3613111933169805,3,past the point when,15,18
130,270254$_$6,T,2,2,4,0.12412274485838216,1,as you can,3,5
130,270254$_$6,T,3,15,15,0.1237134438568342,peak,the,16,16
131,270254$_$8,T,1,21,23,0.21788455424176045,2,a bad movie,22,24
131,270254$_$8,T,2,13,16,0.20722609408210857,1,hope nobody will remember,14,17
